Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAÑETE
,Departamento:LIMA,Provincia:CAÑETE,Distrito:IMPERIAL
,Latitud:13Â°4'28.82'',Longitud:76Â°19'49.46'',Altitud:116,msnm.
,Tipo:EMA,-Meteorológica,Código:113249
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/11/01,00:00,14.7,0.0,93,24,0.0
2021/11/01,01:00,14.3,0.0,93,204,0.0
2021/11/01,02:00,14.1,0.0,94,7,0.0
2021/11/01,03:00,13.9,0.0,94,151,0.5
2021/11/01,04:00,14.0,0.0,94,228,0.0
2021/11/01,05:00,14.8,0.0,93,352,0.0
2021/11/01,06:00,15.0,0.0,92,341,0.2
2021/11/01,07:00,15.3,0.0,91,267,0.3
2021/11/01,08:00,15.9,0.0,88,129,0.2
2021/11/01,09:00,17.1,0.0,83,274,1.8
2021/11/01,10:00,18.7,0.0,77,283,2.0
2021/11/01,11:00,20.7,0.0,70,290,2.8
2021/11/01,12:00,21.1,0.0,68,283,3.7
2021/11/01,13:00,20.6,0.0,70,276,4.1
2021/11/01,14:00,19.5,0.0,74,279,3.7
2021/11/01,15:00,18.3,0.0,78,285,3.0
2021/11/01,16:00,17.4,0.0,82,283,2.3
2021/11/01,17:00,17.0,0.0,84,283,2.3
2021/11/01,18:00,16.5,0.0,86,259,0.5
2021/11/01,19:00,16.6,0.0,86,248,1.0
2021/11/01,20:00,16.8,0.0,84,251,1.6
2021/11/01,21:00,16.8,0.0,82,254,0.4
2021/11/01,22:00,16.9,0.0,82,275,0.5
2021/11/01,23:00,16.9,0.0,84,277,0.2
2021/11/02,00:00,16.8,0.0,84,288,0.2
2021/11/02,01:00,16.7,0.0,85,344,0.0
2021/11/02,02:00,16.5,0.0,85,312,0.1
2021/11/02,03:00,15.3,0.0,89,150,0.0
2021/11/02,04:00,14.6,0.0,91,139,0.4
2021/11/02,05:00,13.8,0.0,91,181,0.4
2021/11/02,06:00,14.0,0.0,92,176,0.0
2021/11/02,07:00,15.3,0.0,92,174,0.0
2021/11/02,08:00,16.1,0.0,89,249,0.3
2021/11/02,09:00,17.2,0.0,84,298,0.8
2021/11/02,10:00,18.0,0.0,81,266,1.0
2021/11/02,11:00,19.6,0.0,76,311,1.5
2021/11/02,12:00,21.4,0.0,70,295,3.1
2021/11/02,13:00,21.3,0.0,70,286,3.1
2021/11/02,14:00,21.1,0.0,69,281,3.1
2021/11/02,15:00,20.9,0.0,69,279,2.8
2021/11/02,16:00,19.9,0.0,73,286,2.9
2021/11/02,17:00,18.9,0.0,77,278,2.4
2021/11/02,18:00,17.5,0.0,83,279,1.3
2021/11/02,19:00,16.6,0.0,87,287,1.6
2021/11/02,20:00,16.5,0.0,87,281,0.1
2021/11/02,21:00,16.7,0.0,87,306,0.1
2021/11/02,22:00,16.9,0.0,85,360,1.6
2021/11/02,23:00,16.9,0.0,85,360,1.8
2021/11/03,00:00,16.8,0.0,85,21,0.1
2021/11/03,01:00,16.9,0.0,84,341,0.2
2021/11/03,02:00,16.8,0.0,84,294,0.0
2021/11/03,03:00,16.8,0.0,84,42,0.3
2021/11/03,04:00,16.6,0.0,84,51,0.0
2021/11/03,05:00,16.5,0.0,84,23,0.2
2021/11/03,06:00,16.4,0.0,84,156,0.0
2021/11/03,07:00,16.7,0.0,83,139,0.2
2021/11/03,08:00,17.4,0.0,80,12,0.0
2021/11/03,09:00,18.4,0.0,77,254,1.5
2021/11/03,10:00,20.0,0.0,71,258,1.6
2021/11/03,11:00,21.2,0.0,67,280,3.5
2021/11/03,12:00,21.3,0.0,68,282,3.2
2021/11/03,13:00,21.4,0.0,68,291,3.5
2021/11/03,14:00,21.4,0.0,67,300,3.6
2021/11/03,15:00,20.8,0.0,69,278,3.4
2021/11/03,16:00,19.2,0.0,75,270,2.3
2021/11/03,17:00,18.2,0.0,78,279,2.5
2021/11/03,18:00,17.4,0.0,80,265,1.9
2021/11/03,19:00,17.3,0.0,81,299,0.0
2021/11/03,20:00,17.5,0.0,80,247,1.2
